Title,Type,genres,releaseYear,Imbid,imbdAverageRating,imbdNumVotes,availableCountries
Che: Part Two,movie,"Biography, Drama, History",2008,tt0374569,6.8,35380,JP
Che: Part One,movie,"Biography, Drama, History",2008,tt0892255,7.1,48382,JP
Deep Blue Sea,movie,"Action, Adventure, Sci-Fi",1999,tt0149261,5.9,145528,JP
Jeepers Creepers,movie,"Horror, Mystery",2001,tt0263488,6.2,146974,JP
The Marine,movie,"Action, Comedy, Drama",2006,tt0419946,4.8,36319,US
Hellraiser,movie,"Horror, Thriller",1987,tt0093177,6.9,144748,JP
The Great Silence,movie,"Drama, Western",1968,tt0063032,7.7,18589,JP
The Banger Sisters,movie,"Comedy, Drama",2002,tt0280460,5.7,17533,US
The Family Stone,movie,"Comedy, Drama, Romance",2005,tt0356680,6.3,76047,US
Police Story,movie,"Action, Comedy, Crime",1985,tt0089374,7.5,43217,JP
Hellbound: Hellraiser II,movie,"Horror, Thriller",1988,tt0095294,6.4,57515,JP
Hot Shots! Part Deux,movie,"Action, Comedy",1993,tt0107144,6.6,98909,US
Eraser,movie,"Action, Crime, Thriller",1996,tt0116213,6.2,119823,JP
Femme Fatale,movie,"Crime, Drama, Mystery",2002,tt0280665,6.2,38113,JP
John Tucker Must Die,movie,"Comedy, Romance",2006,tt0455967,5.7,89394,US
Ghost in the Shell,movie,"Action, Animation, Crime",1995,tt0113568,7.9,161008,JP
Clear and Present Danger,movie,"Action, Crime, Drama",1994,tt0109444,6.9,110239,JP
Transporter 2,movie,"Action, Crime, Thriller",2005,tt0388482,6.3,218357,JP
